Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Aloo Baingan,Homemade, 1 serving,97,21,12,3
Aloo Prantha,Homemade, 1 piece,184,21,6,5
Aloo Parantha,Homemade, 1 parantha,150,55,3,6
Aloo Methi,Sabzi, 28.25 gm (1 oz),50,4,4,1
Vada Pav,Generic, 1 piece,300,55,9,3
Indian Vada Pav,Generic, 1 regular,202,27,6,11
Vada pav,Ashoka, 1 piece,165,24,6,4
Mumbai Pav - for Vada Pav and Bhaji Pav,Kcb, 1.6 oz,180,29,6,3
Spicy Vada Pav,TeeToz, 1 Jumbo,0,0,0,0
Vada Pav,Govardhan Thal, 1 piece,300,55,9,3
Vada Pav - Fried Potato Vada With Bun,They Daily Plates Calorie Counter, 1 pc,213,38,3,3
the Most Accurate One!,Generic Vada Pav, 1 cup,100,1,1,50
Masala Vada,Masala Vada, 2 pc,100,19,1,5
Wada Pav,Wada Pav, 1 vada Pav (2 buns),270,37,9,8
Pav Bhaji Without Pav/Bread,Pav Bhaji-W/O Pav, 1 cup,160,18,9,3
Medu Vada,Homemade - Medu Vada, 2 Pieces,334,43,11,14
Vada,Generic, 1 No,115,12,6,2
Pav Bhaji (Without Pav),Homemade, 150 g,160,18,9,3
Pav,Nilgiris Pav, 1 pav,310,47,10,9
Mumbai Pav,Pav-wala, 46 g,120,23,1,4
Vada,Vish, 1 Piece - 66 grams,240,16,18,6
Pav,Wheat, 100 g,180,55,1,8
Pav Toasted With Butter,Pav Bhaji, 1 pav,100,0,0,0
Indian Pav Bhaji (Incl Pav),Homemade, 1 Plate with 1/2 Pavs,200,47,12,7
Masala Vada,Masala Vada, 2 pc,100,19,1,5
Medu Vada,Homemade - Medu Vada, 2 Pieces,334,43,11,14
Vada,Generic, 1 No,115,12,6,2
Vada,Vish, 1 Piece - 66 grams,240,16,18,6
Vada,Ammas pariippu vada, 2 pc,136,20,3,7
Vada for Dahi-Vada,Deep Indian Gourmet, 2 Pieces,140,11,8,5
Dahi Vada,Homemade, 2 pieces,334,28,21,11
Vada Pav,Generic, 1 piece,300,55,9,3
Medu Vada,Udupi, 2 pieces (66g),180,24,7,6
Vada,Baps, 1 oz,200,18,10,10
Medu Vada,Test, 1 Piece,170,24,6,4
Dahi Vada,Sdsa, 2 pieces,360,60,16,4
Masala Vada,Generic, 1 piece,100,19,4,5
Medu Vada,Udipi, 1 piece,185,15,6,8
Medhu Vada,Generic, 1 piece,240,16,18,6
Sabudana Vada,Homemade, 1 piece 25 g,150,0,0,0
Medu Vada,Generic, 2 pcs,334,43,11,14
