Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Fish Cutlet,Korean, 100 g,130,19,1,11
FishÂ Cutlet,ElakkiaÂ FishÂ Cutlets, 1 cutlet,52,7,1,3
Frozen Fish Cutlet,Hansung, 60 g,110,15,3,6
fish cutlet,first pride, 2 pieces,292,23,15,0
Fish Cutlet,Instant Delight, 1 piece,290,40,19,20
fish cutlet,fish, 120 gram,190,28,3,15
Sri Lankan Fish Cutlet,Fish Cutlet, 1 cutlet,97,7,6,4
Fish Cutlet,Home, 1 slice,227,9,15,12
Fish Cutlet,Sunfeast, 50 g,100,15,3,7
Fish Cutlet,Jk1m, 0.25 piece 40g,35,0,0,0
Fish Cutlet,Tsu Cafe, 1 piece,113,3,6,12
Minced Fish Cutlet,Homemade, 100 g,259,10,18,15
Mediterranean fish cutlet,Dare, 1 cutlet,150,3,4,26
Cutlet From Fish ,Homemade Fish Cotlet, 100 g,112,3,6,12
Frozen Fish Cutlet,Britte Frozen Fish Cutlet, 1 cutlet,171,29,1,11
fish cutlet,seastar, 100 g,130,18,2,11
Breaded Fish Cutlet,Korean, 1 cutlet,100,17,1,7
Fish Cutlet,Britte, 1 Cutlets,171,29,1,11
Fish cutlet,Gippo, 100 gram,110,7,3,15
Fish cutlet,Choripdong, 1 fish,101,17,1,7
Fish Cutlet,Korean, 100 g,130,19,1,11
FishÂ Cutlet,ElakkiaÂ FishÂ Cutlets, 1 cutlet,52,7,1,3
Frozen Fish Cutlet,Hansung, 60 g,110,15,3,6
fish cutlet,first pride, 2 pieces,292,23,15,0
Fish Cutlet,Instant Delight, 1 piece,290,40,19,20
Eggless Fruit Cake,Golden, 1 slice,160,21,6,3
EgglessÂ FruitÂ Cake,Kitty, 250 gram,384,57,15,5
Eggless fruit cake,Mehar, 20 gram,998,149,35,16
Golden Eggless Fruit Cake,Surati, 1 slice  (40g),160,21,7,2
Eggless Veg. Fruit Cake,KITTY, 100 G,390,53,16,7
Eggless Veg Fruit Cake,kitty, 100 grams,390,53,16,7
Eggless Chocolate Cake,Homemade, 1 slice,178,20,10,3
Eggless Cake Rusk,Generic, 1 pc,122,10,7,3
Eggless cake,Denish, 100 g,426,56,0,5
eggless cake,crispy, 39 gram,100,16,5,1
Eggless Pineapple Cake,Homemade, 1 piece,173,23,8,3
eggless fruit cake,bake n shake, 99 gram,370,54,14,7
Cup Cake Eggless,Gee's, 1 cake,93,17,2,3
eggless dry fruit cake,bakery bites, 250 gram,419,53,21,4
Eggless Cake Rusk,Crispy, 1 piece,160,26,6,1
Eggless Cake Rusk,Kcb, 1 piece,110,14,6,2
Eggless Cake Rusk,Golden, 1 piece,172,23,8,2
eggless cake,kidys, 100 gram,455,55,23,7
Mug Cake,Nutella Eggless, 1 Mug,838,95,49,12
Eggless Banana Cake,Gee's, 1 piece,51,9,2,0
Lemon Peel,kanoka, 5 gram,15,4,0,0
5 Kinds Citrus Peel,Kanoka, 14 g,50,12,0,0
Kanoka Amanatsu (Prepared Juicy Orange Peel),Kawa Corporation, 10 g,25,6,0,0
ê¹ì¹ë§ë,Panocha Mandu, 1 Mandu,400,49,14,25
Ginger soft candy,Panocha Ginger, 100 gram,370,87,2,0
"Piloncillo (Aka Panela, Panocha) - Raw Cane Sugar",Generic, 28 g (1oz),106,28,0,0
the Most Accurate One!,Generic Panocha, 1 cup,100,1,1,50
Tres leches,Tres leches, 0.5 Cupcake,190,30,6,4
Tres  leches cake,Tres leches, 0.5 cake,220,31,10,3
torta tres leches Lider,Torta tres leches, 80 grs,174,28,5,0
Postre Tres Leches Chocolate,Tres Leches Chocolate, 1 Porcion (252 gr),629,64,26,9
TresÂ lechesÂ Cereal,HEBÂ TRESÂ LECHES, 63 g,260,52,5,3
Tres leches,Tres leches whole foods, 1 slice,410,43,23,7
Tres Leches,Ryan's, 90 g,250,25,15,4
Tres leches sponge cake,Tres Leches, 1 piece,340,51,12,7
Cake,Tres Leches, 1 slice,330,51,11,6
Tres Leches ,Recipe, 1 Piece,380,0,0,0
Tres Leches,CastaÃ±o, 1 unidad (145g),321,0,9,7
Tres Leche Liquor,Tres Leches, 1 ounce,100,0,0,0
Tres Leches,Walmart, 113 g,280,43,9,5
Tres leches,Torta, 80 gr,110,8,9,2
Tres Leches,Tbj, 1 slice,351,46,15,11
Tres leches,Nestle, 2 bolitas,99,15,4,1
torta tres leches,torta tres leches lider, 1 unidad,215,36,6,5
Tres Leches,Nacarina, 1 tajada de queque,164,23,6,5
tres leches,fruna, 110 ml,116,15,6,2
3 leches Cake,Silvia Tres leches, 0.5 cup 4 oz,150,21,7,2
Mutton Samosa,Al Kabeer, 100 g,231,32,7,9
Mutton Samosa,LuLu, 100 gm,287,26,15,11
MuttonÂ mexicanÂ samosa,Danish, 100 gram,231,32,7,9
Mutton,Mutton, 100 grams,294,0,21,25
Samosa,Samosa, 1 unit,308,32,18,5
Fried Mutton,Fried Mutton, 100 g,235,0,14,26
Samosa,Samosa, 4 samosas,170,27,2,15
Biryani-mutton,Biryani-mutton, 439.3 G,640,80,23,10
Mutton Soup,Mutton Soup, 1 cup,382,30,17,27
tin mutton ,corned mutton, 100 g,180,0,13,16
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Raw Boneless Mutton,Mutton, 100 grams,230,0,14,26
Chicken samosa,Samosa, 1 samosa,88,12,3,4
Grill Bbq Mutton Ribs,Mikes Mutton, 100 gg,300,0,28,25
Mutton Pulao,Home Made Mutton Pulao, 1 serving,578,59,22,36
Mutton,Mutton slices, 100 g,175,2,14,9
mutton,BEEF, 100 gram,135,0,5,23
Vegetable Samosa,Vegetable Samosa, 4 pieces x 100gr,750,55,30,4
Chickpea Samosa,Yummy Samosa, 1 samosa (85g),210,30,8,4
mutton burger,amerciana mutton burger, 100 gram,245,5,17,18
Mutton Samosa,Al Kabeer, 100 g,231,32,7,9
Mutton Samosa,LuLu, 100 gm,287,26,15,11
MuttonÂ mexicanÂ samosa,Danish, 100 gram,231,32,7,9
Mutton,Mutton, 100 grams,294,0,21,25
Samosa,Samosa, 1 unit,308,32,18,5
Fried Mutton,Fried Mutton, 100 g,235,0,14,26
Samosa,Samosa, 4 samosas,170,27,2,15
Biryani-mutton,Biryani-mutton, 439.3 G,640,80,23,10
Mutton Soup,Mutton Soup, 1 cup,382,30,17,27
tin mutton ,corned mutton, 100 g,180,0,13,16
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Raw Boneless Mutton,Mutton, 100 grams,230,0,14,26
Chicken samosa,Samosa, 1 samosa,88,12,3,4
Grill Bbq Mutton Ribs,Mikes Mutton, 100 gg,300,0,28,25
Mutton Pulao,Home Made Mutton Pulao, 1 serving,578,59,22,36
Mutton,Mutton slices, 100 g,175,2,14,9
mutton,BEEF, 100 gram,135,0,5,23
Vegetable Samosa,Vegetable Samosa, 4 pieces x 100gr,750,55,30,4
mutton burger,amerciana mutton burger, 100 gram,245,5,17,18
Chickpea Samosa,Yummy Samosa, 1 samosa (85g),210,30,8,4
Mutton Samosa,Al Kabeer, 100 g,231,32,7,9
Mutton Samosa,LuLu, 100 gm,287,26,15,11
MuttonÂ mexicanÂ samosa,Danish, 100 gram,231,32,7,9
Mutton,Mutton, 100 grams,294,0,21,25
Samosa,Samosa, 1 unit,308,32,18,5
Fried Mutton,Fried Mutton, 100 g,235,0,14,26
Samosa,Samosa, 4 samosas,170,27,2,15
Biryani-mutton,Biryani-mutton, 439.3 G,640,80,23,10
Mutton Soup,Mutton Soup, 1 cup,382,30,17,27
tin mutton ,corned mutton, 100 g,180,0,13,16
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Raw Boneless Mutton,Mutton, 100 grams,230,0,14,26
Chicken samosa,Samosa, 1 samosa,88,12,3,4
Grill Bbq Mutton Ribs,Mikes Mutton, 100 gg,300,0,28,25
Mutton Pulao,Home Made Mutton Pulao, 1 serving,578,59,22,36
Mutton,Mutton slices, 100 g,175,2,14,9
mutton,BEEF, 100 gram,135,0,5,23
Vegetable Samosa,Vegetable Samosa, 4 pieces x 100gr,750,55,30,4
mutton burger,amerciana mutton burger, 100 gram,245,5,17,18
Chickpea Samosa,Yummy Samosa, 1 samosa (85g),210,30,8,4
Beef Biryani,Homemade, 1 cup,350,50,8,25
Beef Biryani,Plated - Beef Biryani, 1 portion,740,0,0,0
Beef biryani,Lofat, 1 serving 310g,383,52,8,25
Biryani Beef,LoFat, 311 grams,383,52,8,25
Beef Biryani,Jenny Craig, 300 g,354,44,7,24
Beef biryani,Lofat kuwait, 1 plate,383,52,8,25
Biryani-mutton,Biryani-mutton, 439.3 G,640,80,23,10
Chickpea Biryani,Chickpea Biryani, 414 g,376,71,6,9
Beef Biryani,Pinch of Yum, 0.167 recipe,384,48,12,23
Lofat Chicken Biryani,Chicken  Biryani, 1 bowl,395,60,10,15
Beef Biryani,Hello Fresh, 1 meal,566,80,12,32
Biryani crevette,Biryani, 100 g,421,68,11,11
Biryani Chicken,Iraqi Biryani, 1 cup,368,56,12,11
Veg Biryani,Veg Dum Biryani, 1 cup,663,89,29,18
Hyderabadi Biryani,Biryani - Andhra Style, 500 g,726,66,23,61
Biryani,Biryani, 100 g,163,13,8,10
Veg Biryani,Mushroom Biryani - Homemade, 0.5 plate,344,71,4,11
Chicken Biryani,Iceland Chicken Biryani, 500 g,373,28,15,33
Biryani mix,Biryani, 100 g,290,40,0,10
Indian Food,Mr. Kebab Beef Biryani, 1 meal,443,51,16,24
Hot Dog,Hot Dog Daniel, 100 gramos,307,4,26,13
Hot Dog,Hot Dog City, 1 hotdog,240,2,21,10
Turkey Hot Dog,Turkey hot dog, 1 hot dog,100,2,8,5
Hot Dog Roll,Hot Dog Roll, 1 roll,120,19,3,4
Hot Dog,Bright leaf hot dog, 1 hot dog,100,4,8,5
hot dog,hot dog, 1 link,232,2,25,14
Hot dog,Jumbo hot dog, 1 hotdog,170,0,0,0
hot dog,Salmons hot dog, 1 hot dog,140,1,11,7
Hot dog,Vienna hot  dog, 1 hotdog,160,0,15,6
Hot Dog,Applegate Organic Hot Dog, 47 g,110,0,9,7
Sonoran Hot Dog,Sonoran Hot Dog, 1 Hot Dog,397,42,19,16
Hot Dog,Oscar Meyer Hot Dog, 1 link,140,1,13,7
Hot-Dog,7/11 Hot-Dog, 1 stk,270,0,24,11
Hot Dog,Yocco Dog, 1 dog,401,46,15,15
Hot Dog,Hot Dog Z Bp, 1 szt,436,42,25,12
Hot Dog,Top Dog, 1 weiner,110,1,10,5
Hot Dog,Oscar Meyer Angus Hot Dog, 1 link,180,2,16,6
hot dog,hot dog ikea, 100 g,240,7,20,10
Hot Dog,Fit & Active Turkey Hot Dog, 1 g,90,1,8,5
Hot Dog 1,Hot dog John morrell, 1 hot dog,150,4,13,4
Puri Halwa(suji) Alo Channa Bhaji,"Generic, 2 PURI,1 CUP BHAJI"," 2 PURI,1 CUP BHAJI,1/CUP HALWA",600,0,0,0
"Bhaji (Potato Based,eaten With Puri)",Indian, 1 small plate (100g approx),64,12,2,1
Puri,puri, 1 piece,107,17,3,3
Bhaji,Bhaji, 1 plate,85,3,4,0
the Most Accurate One!,Generic Puri Bhaji, 1 cup,100,1,1,50
Masala Puri,Masala Puri, 1 pc,36,8,0,1
Pani Puri,Pani Puri, 1 piece,36,4,2,1
Sev-Puri Puri,Anand, 42 gm,231,23,14,3
Methi Bhaji,Methi Bhaji, 150 gm,245,24,15,6
puri puri chicken ,lidl, 0.5 pack,258,2,7,46
Vidhya's Pani Puri,Pani Puri, 11 pcs,270,331,12,6
Pani Puri empty,Pani Puri, 5 pieces,70,8,3,1
puri puri chicken,aldi, 100 g,210,0,12,25
Onion Bhaji,Onion Bhaji, 1 round,70,6,4,2
Methichi Bhaji,Methichi Bhaji, 1 katori,100,0,0,0
Puri,Nirvana," 4 puri (1.5"" diameter)",112,16,5,3
Puri,Generic, 1 (4-4/5 diameter),107,16,5,3
Geela Bhel Puri,Geela Bhel Puri, 130 g,351,33,13,5
Deep Pani Puri,Deep Pani Puri, 5 pieces (17g),90,11,4,2
puri,ketos puri, 100 gram,166,34,7,6
Puri,puri, 1 piece,107,17,3,3
halva,halva, 1 slice,170,15,10,4
Pani Puri,Pani Puri, 1 piece,36,4,2,1
Masala Puri,Masala Puri, 1 pc,36,8,0,1
Sev-Puri Puri,Anand, 42 gm,231,23,14,3
puri puri chicken ,lidl, 0.5 pack,258,2,7,46
Vidhya's Pani Puri,Pani Puri, 11 pcs,270,331,12,6
Pani Puri empty,Pani Puri, 5 pieces,70,8,3,1
puri puri chicken,aldi, 100 g,210,0,12,25
Halva,Lebanon halva, 2 tablespoon- 32gr,170,18,9,4
Puri,Nirvana," 4 puri (1.5"" diameter)",112,16,5,3
Halva,Honey Halva, 100 gr,479,40,31,0
Puri,Generic, 1 (4-4/5 diameter),107,16,5,3
Geela Bhel Puri,Geela Bhel Puri, 130 g,351,33,13,5
Deep Pani Puri,Deep Pani Puri, 5 pieces (17g),90,11,4,2
puri,ketos puri, 100 gram,166,34,7,6
Puri,MazedarÂ Puri, 1 puri,130,20,5,2
Halva,Pistachio Halva, 28 g,146,16,8,3
puri snack,Tea time puri, 1 cup,107,10,6,2
Qatos puri,Qatos puri dachrilii puri+, 1 loaf,192,37,2,8
Paneer Paratha,Homestyle, 1 paratha,265,28,13,9
Paneer Paratha,Restaurant, 1 piece,265,28,13,9
Paneer Paratha,Haldirams, 1 piece,320,32,17,11
Paneer Paratha,Deep, 1 piece(92gm),265,28,13,10
"""Paneer Paratha""","Swad""", 1 Piece,279,37,11,9
Paneer Paratha,Ashoka, 1 piece,280,26,15,8
Paneer Paratha,Generic, 0.25 package,250,0,0,0
Paneer Paratha,Jagdeep, 1 Piece,265,28,13,9
Paneer Paratha,Nik's, 1 paratha,310,33,16,8
Paneer Onion Paratha,Haldiram's, 1 piece,280,32,13,8
Paneer Paratha,Jillbee's, 1 box,695,105,20,26
Paneer Paratha,Ravi, 1 size,320,32,17,11
Paneer Paratha,Thakar, 1 piece,320,32,17,11
Paneer Onion Paratha,Haldirams, 1 Piece,280,32,13,8
Paneer Paratha,Deep Foods, 1 piece,265,28,13,9
Paneer Paratha,Deep Indian Gourmet, 1 piece 92 g,290,40,11,7
Paneer Paratha,Raja Foods, 1 paratha,279,37,11,9
Paneer tikka paratha,Surati, 1 piece,310,33,16,8
"Cabbage, Paneer, Onion Paratha",Rekha's, 55 g,83,17,0,3
homestyle paneer paratha,Deep, 1 unit,290,40,11,7
CholeÂ Bhature,Trishaz, 100 gram,184,21,8,5
Chole Bhature Sandwich,Babu's, 1 sandwich,300,33,16,5
Babu's Chole Bhature,Generic, 1 sandwich,300,33,16,5
Chole Bhature (84167.0),Eurest, 1 serving(s),443,57,18,14
Chole (Chana) Bhature,"Take-out, 3 bhature"," 3 bhature, 1 cup chole",522,72,20,15
Chole Bhature,Microsoft Cafe 36 (Himalayan Indian), 1 serving,440,56,18,14
the Most Accurate One!,Generic Chole Bhature, 1 cup,100,1,1,50
Bhature,Homemade, 1 Nos,187,20,10,3
Choly Bhature,Homemade, 1 cup,650,0,20,15
Frozen Bhature,Deep, 1 piece,230,32,9,9
Chole,Kc, 1 cup,157,24,5,7
Chole,Nm, 3 oz,40,8,1,2
Chole,Chawal, 1 plate,0,0,0,0
Chole,Dp, 1 oz,40,0,0,0
Chole Chatpate,Mirch Masala Frozen Chole, 0.5 tray,210,18,12,5
Chole Dal,Chole Dal, 1 cup (182 Grams),252,42,5,13
Maa Chole Daal [ [cooked],Rockfella's Maa Chole, 100 Grams,222,27,10,9
chole,haldirams dilli style chole, 1 serving,210,20,12,5
Chole,Michigan Dining, 0.5 Cup,152,19,7,5
Punjabi Chole,Neesa, 0.5 Cup,130,23,2,5
Peanut Chutney,Geetham, 1 tbs,85,3,7,3
Peanut Chutney,Generic, 1 cup cooked,100,0,0,0
Chutney,Kitâs Peanut Chutney, 10 g,36,3,2,2
Peanut Chutney,Kitâs Peanut Chutney 180g, 10 g,36,3,2,2
Peanut Coconut Chutney,Homemade, 2 table spoons,256,14,21,7
02.May Peanut Chutney,02.May Peanut Chutney, 1 serving,121,6,9,5
Kaappu's Peanut Chutney,Homemade, 0.5 cup,221,6,24,9
peanut chutney,nasle, 1 spoon,548,30,38,22
South Indian Peanut Chutney,Generic, 2 TBSP,59,3,6,2
Peanut Chutney,Sri, 2 tbsp,59,2,5,3
Peanut Chutney for Idly Dosa,Homemade-peanut Chutney, 2 tbsp,59,2,5,3
Chutney,Chutney, 1 dl,60,4,3,3
Tomato Peanut Chutney for Dosa,Sj, 3 tablespoon,49,6,3,1
Andhra Peanut Chutney,Generic, 100 grams,154,61,12,6
Chutney,Deep chutney, 1 tsp,60,14,0,0
Chutney,Anathoth  Beetroot Chutney, 10 g,16,4,0,0
Green Chutney,Green Chutney, 15 milliliter,5,1,0,0
Chutney,Nectarine chutney, 1 tbsp,35,9,0,0
Cocunut Chutney - White,Chutney, 1 tbsp,70,1,5,0
Peanut & Tamarind Chutney,the Spice Tailor, 10 g,35,0,2,0
Onion Dosa,Generic, 1 (cup cooked),300,10,4,2
Onion Rava Dosa,Shafina, 1 dosa,193,25,5,5
Onion Dosa (Scribd),Homemade, 1 dosa (35gms),157,0,0,0
Onion Dosa,Restaurant Andhra, 1 no,300,10,4,2
Onion Dosa (Scribd),Generic, 1 no,157,0,0,0
dosa,ragi dosa, 1 cup,126,0,0,0
Cheese Dosa,Dosa-cheese Dosa, 1 Dosa,175,4,15,7
Rice Dosa,Dosa, 3 Cooked,203,20,0,0
Rava Dosa (Onion/plain),Generic, 1 small,83,13,2,2
Onion Rava Masala Dosa,Udupi, 1 peice,210,32,8,3
Onion Rava Dosa - Restaurant,Vish, 1 no,193,25,5,5
Rava Onion Dosa,Homemade, 100 g,169,27,5,4
Spring Dosa,Spring Dosa, 1 pc,581,52,41,8
dosa,dosa podi, 51 gms,180,40,0,5
Janak - Dosa,Janak - Dosa, 1 dosa,80,15,2,2
Onion Rava Masala Dosa,Madras Cafe, 1 Dosa,250,34,8,8
Shezwan Sada Dosa,Dosa, 1 plate,157,30,3,5
Homemade Wheat Dosa,Wheat Dosa, 2 dosa,149,22,5,3
Masala Dosa,Masala Dosa, 1 ì»µ,140,22,5,4
Puttu with Kadala curry,daily delight, 1 number,220,35,1,18
Puttu With Kadala Curry (Brown),Daily Delights, 113.5 g,220,35,1,18
Kadala Curry,Fab's, 0.5 cup cooked,90,0,0,0
Puttu,Homemade, 1 cup,143,30,1,3
Puttu,Dharshi, 1 block,133,27,1,5
Puttu,Home, 100 g,392,73,8,8
puttu,nirapara, 100 g,370,81,2,7
Kadala Curry,Prajesh's, 1.5 Cup Cooked,208,23,12,5
Kadala Curry,Home Made, 1 (44 g),452,0,24,15
Chemba Puttu,Nirapara, 100 g,370,81,2,7
Bola Kadala,Araliya, 1 gram,103,11,3,3
kadala mittai,kajah, 100 gram,474,67,17,12
Gothambu Puttu With Coconut,Manoos Whole Wheat Puttu, 1 kuti,456,81,9,18
Puttu,Baba's, 62.5 gram,211,47,0,5
Oats Puttu,Manoos, 1 cup cooked (chiratta puttu),247,42,7,8
Puttu,Ponkathir, 100 gram,354,82,1,4
Kerala Puttu,Sojos, 143.7 grams,307,64,3,5
Puttu - Corn,Generic, 100 g,108,78,3,8
home made puttu,Eastern puttu podi, 100 gram,386,85,1,12
Wheat Puttu,Home Made, 0.25 cup raw,130,25,1,4
Beetroot Salad,Sainsburys Beetroot Salad, 100 g,69,13,1,1
Beetroot Salad ,Beetroot Salad Lidl, 51 g,23,4,0,1
Beetroot salad,Beetroot salad, 125 g,167,18,7,5
Thermomix,Beetroot salad, 1 cup,158,14,9,2
Beetroot Salad,Asda, 100 g,52,10,1,1
Beetroot Salad,Sainsbury's, 100 g,55,13,1,1
Beetroot Salad,Waitrose, 100 g,28,4,0,2
Beetroot Salad,Morrisons, 100 g,42,7,0,1
Beetroot Salad,Sainsburys, 100 g,54,9,1,1
Beetroot Salad,Tesco, 100 g,33,4,0,2
Beetroot Salad,Kcal, 1 portion,200,8,14,5
Beetroot Salad,Homemade, 150 gr,193,12,15,2
Beetroot Salad,Coop, 100 g,81,10,4,2
Beetroot Salad,Morrison's, 100 g,62,11,1,1
Beetroot Salad,Koo, 100 g,40,0,0,0
Beetroot Salad,Iceland, 50 gram,30,6,0,1
Beetroot Salad,Lidl, 30 g,23,0,0,0
beetroot salad,supervalu, 60 g,40,6,1,1
Beetroot salad,Aldi, 100 g,121,12,7,1
Beetroot Salad Deli Salad,Tesco, 100 g,60,10,1,1
Small Dimsums,Costco, 6 hacao,110,23,2,7
Chicken dimsums ,Republic of Chicken, 100 g,192,20,7,13
Steamed Veg Dimsums (W/o Sauce),Chinese, 1 dumpling,30,6,0,1
Manchurian. Chicken,Manchurian chicken, 161 g,230,19,8,21
Veg Manchurian #,Generic, 2 -3 balls,183,20,11,2
Chicken Manchurian,Generic, 108 g,221,17,8,20
Cauliflower Manchurian,Generic, 0.75 Cauliflower,295,32,18,5
Manchurian Chicken,Homemade, 1 cup,238,16,6,30
Gobhi Manchurian,Indian, 0.25 restaurant serving,93,6,7,1
Vegetable Manchurian,Homemade, 1 (309 g),261,36,10,8
Paneer Manchurian,Generic, 68 g,81,18,0,2
Gobi Manchurian,Jaanufoods, 2 cups,215,25,10,5
Manchurian Noodle,Chings, 1 Packet,260,38,9,6
Tofu Manchurian,Indian, 1 cup,164,25,6,3
Fish Manchurian,Hakka, 1 lunch combo with Rice,746,106,16,48
Manchurian Shrimp,Generic, 1 serving,146,2,4,25
aloo bhujia,aloo bhujia, 27 grams,156,11,12,2
manchurian,ching's, 60 gram,68,11,2,2
Vegetable Manchurian,Hot Wok, 0.5 tray,200,19,11,6
Gobi Manchurian (84865.0),Eurest, 1 cup,248,35,7,15
Aloo Matar,Aloo Matar Shorba, 293.3 Gram,219,48,1,7
Chinese manchurian,Knorr, 13.75 g,44,9,0,2
Aloo Gobhi,Sara's Aloo Gobhi, 2 cups,155,23,3,5
Mushroom Manchurian,Homemade, 150 grams,165,32,1,6
Manchurian. Chicken,Manchurian chicken, 161 g,230,19,8,21
Mushroom In Soy Sauce,Chicken Manchurian, 1 cup,80,0,0,0
Veg Manchurian #,Generic, 2 -3 balls,183,20,11,2
Chicken Manchurian,Generic, 108 g,221,17,8,20
Cauliflower Manchurian,Generic, 0.75 Cauliflower,295,32,18,5
Manchurian Chicken,Homemade, 1 cup,238,16,6,30
Gobhi Manchurian,Indian, 0.25 restaurant serving,93,6,7,1
Vegetable Manchurian,Homemade, 1 (309 g),261,36,10,8
Paneer Manchurian,Generic, 68 g,81,18,0,2
Gobi Manchurian,Jaanufoods, 2 cups,215,25,10,5
Manchurian Noodle,Chings, 1 Packet,260,38,9,6
Tofu Manchurian,Indian, 1 cup,164,25,6,3
Fish Manchurian,Hakka, 1 lunch combo with Rice,746,106,16,48
Manchurian Shrimp,Generic, 1 serving,146,2,4,25
manchurian,ching's, 60 gram,68,11,2,2
Vegetable Manchurian,Hot Wok, 0.5 tray,200,19,11,6
Gobi Manchurian (84865.0),Eurest, 1 cup,248,35,7,15
Chinese manchurian,Knorr, 13.75 g,44,9,0,2
Baby Corn Manchurian,Generic, 116 g,91,20,1,3
Pork Sausages,Oakfield Pork Sausages (Aldi), 1 Sausage,99,4,6,7
Pork Sausages,Guinness Sausages, 2 sausages (133 g),426,5,38,17
Pork Sausages,Rudds Sausages, 1 sausage,121,3,9,4
pork sausages,pork sausages, 3 sausages,320,7,28,10
Pork Sausages,Aldi Brannans Butchery Pork Sausages, 70 g,169,5,12,10
80% Pork Sausages,Hodgins Sausages, 2 SAUSAGES,174,4,15,8
Sausages,Pork sausages Aldi UK, 1 sausage,148,1,12,11
sausages,farmfoods pork sausages, 1 sausage 50g,156,5,13,5
sausages,Glensallagh Pork Sausages, 28 gram,91,2,8,2
Pork Sausages,Richmond, 1 sausage,132,8,8,7
Pork Sausages,Bbq, 1 sausage,285,6,22,17
Pork Sausages,Denny, 2 sausage,166,6,13,6
Pork Sausages,Meat, 3 sausages (80g),140,2,9,13
Pork Sausages,Clonakilty, 1 sausage,95,3,8,3
Pork Sausages,Kearns, 1 Sausage,98,3,9,3
Pork Sausages,Woolworths, 100 grams,212,9,15,10
Sausages,Pork saisage, 1 single,125,1,1,1
Pork Sausages ,Galtee, 2 sausages,164,9,11,7
Pork Sausages,Spar, 2 grilled Sausages,181,1,7,17
Pork Sausages,Pnp Pork Sausages, 100 gram,220,3,18,13
Roll,Wheat roll, 1 roll,155,25,2,7
California Roll,California. Roll, 6 piece,255,38,7,9
Hard Roll,Hard roll, 1 roll,167,30,3,6
Pretzel Roll,Pretzel roll, 1 roll,200,37,2,6
Swiss Roll,Swiss Roll, 1 plate,270,39,12,2
Dinner Roll,Dinner roll, 1 One piece,100,19,2,2
Roll,Hawaiian sweet roll, 1 roll,90,16,3,3
Chiko Roll,Chiko roll, 160 g,374,42,18,13
Sub roll,Roll, 1 roll,220,41,2,12
Roll,Croissiant Roll, 1 oz,115,13,0,2
Roll,Deli roll, 1 piece,200,0,0,0
"Candies, TOOTSIE ROLL, chocolate-flavor roll",Tootsie Roll, 1 serving 6 pieces,387,88,3,2
Sweet Roll,Roll, 1 roll,200,30,8,3
roll,Cinnamon roll Carmel roll, 1 roll,230,45,8,4
"Tootsie Roll, Large Roll",Tootsie Roll, 0.5 roll,120,25,3,0
Roll,Date Roll, 2 rolls,60,0,0,0
Roll,BJs kaiser roll, 1 roll,160,30,2,7
Pretzel Roll,Costco Pretzel Roll, 3.2 oz,200,38,2,6
Roll,Wegmans wheat roll, 1 roll,160,31,2,6
Roll,Pumpkin roll, 1 roll,260,44,7,4
Cream Roll,Cream Roll, 60 gram,188,31,5,7
Cream Roll,High 5 Cream Roll, 1 pc,173,25,7,3
Roll,Pandan Cream Roll, 1 bun,204,23,12,2
ice cream roll,ice cream roll, 1 serving,112,20,3,2
Korean Cream Roll,Hasdo - Korean Cream Roll, 100 g,316,48,12,5
roll,roll with cream cheese, 1 roll,210,0,0,0
Cream Roll,Gardenia Strawberry Cream Roll, 1 pc,168,28,4,5
Sobeys Chocolate Cream Roll,Chocolate Cream Roll, 1 slice,190,34,6,2
Ice Cream Arctic Roll,Ice Cream, 1 slice,80,13,3,1
Cream Cheese Roll,Afc, 9.5 oz,510,64,19,22
Ice Cream Roll,Moresion, 100 g,473,62,22,5
Vanilla Cream Roll,Sunshine, 65 g,196,31,5,6
Cream Roll,Gardenia, 75 g,215,42,4,5
Cheese Cream Roll,Sunshine, 65 g,189,30,5,6
Chocolate Cream Roll,Sunshine, 1 roll (65g),193,32,5,6
Ice Cream Roll,Sainsbury, 100 g,195,35,4,3
ice cream roll,tesco, 50 g,90,16,2,1
Cream Cheese Roll,Chefselect, 3 pcs,140,21,5,3
Strawberry Cream Roll,Sunshine, 1 (65g),189,31,5,6
Cream Roll,Matcha Creamroll, 15 g (1 piece),50,6,3,1
Cacao Powder,Navigate, 2.5 tbsp,60,3,2,4
Please Delete,Please Delete, 1 capsule,0,0,0,0
Please Delete,Please Delete Me, 250 ml,105,25,0,0
Duplicate Please Remove,Duplicate Please Remove, 1 donut,430,0,0,0
Please Delete!,Please Delete!, 113 g,0,0,0,0
Please Delete!!,Please Delete!!, 1 egg(s),0,0,0,0
Please Delete,Delete, 0.5 cup,1,1,1,1
Please Delete,Delete, 0.5 cup,1,1,1,1
Please Delete,Delete, 1 delete,1,1,1,1
Please Delete,Delete, 1 delete,0,0,0,0
Please Delete,Delete, 0.5 cup,1,1,1,1
Please Delete,Delete, 1 Delete,1,1,1,1
Peas  Please,peeled, 1 oz,130,18,4,5
Please Delete,Delete, 0.5 cup,1,1,1,1
Please Remove Me,Please Remove Me, 1 cup,2500,0,50,0
